,phrase,label,sentiment,subjectivity,language,count,geonames,geotype,latitude,longitude,country,ipcc
Tundra Limited Access Cab,Tundra Limited Access Cab,PRODUCT,,,en,1,,,,,,
Tundra Limited,Tundra Limited,PRODUCT,,,en,1,,,,,,
Oak,Oak,NORP,,,en,1,,,,,,
+17836 chars,+17836 chars,WORK_OF_ART,,,en,1,,,,,,
Slide,Slide,PRODUCT,,,en,1,,,,,,
another punishing week,another punishing week,DATE,,,en,1,,,,,,
Land Cruiser UZJ100,Land Cruiser UZJ100,PRODUCT,,,en,1,,,,,,
Ref,Ref,LAW,,,en,1,,,,,,
+2328 chars,+2328 chars,WORK_OF_ART,,,en,1,,,,,,
31k-Mile,31k-Mile,QUANTITY,,,en,1,,,,,,
Convertible at No Reserve,Convertible at No Reserve,PRODUCT,,,en,1,,,,,,
Mystic Blue Metallic,Mystic Blue Metallic,WORK_OF_ART,,,en,1,,,,,,
the holiday all year,the holiday all year,DATE,,,en,1,,,,,,
Land Cruiser,Land Cruiser,PRODUCT,,,en,1,,,,,,
8.2%,8.2%,PERCENT,,,en,1,,,,,,
+7526 chars,+7526 chars,WORK_OF_ART,,,en,1,,,,,,
One-of-a-Kind,One-of-a-Kind,DATE,,,en,1,,,,,,
about 3 miles,about 3 miles,QUANTITY,,,en,1,,,,,,
50 feet,50 feet,QUANTITY,,,en,1,,,,,,
a morning,a morning,TIME,,,en,1,,,,,,
335i Convertible Sport,335i Convertible Sport,PRODUCT,,,en,1,,,,,,
This 2007,This 2007,DATE,,,en,1,,,,,,
coming next week,coming next week,DATE,,,en,1,,,,,,
30,30,CARDINAL,,,en,1,,,,,,
She Stopped Being Racist,She Stopped Being Racist,WORK_OF_ART,,,en,1,,,,,,
This 2015,This 2015,DATE,,,en,1,,,,,,
3 Coupe,3 Coupe,PRODUCT,,,en,1,,,,,,
19k-Mile,19k-Mile,QUANTITY,,,en,1,,,,,,
14,14,CARDINAL,,,en,1,,,,,,
xDrive Sports Wagon,xDrive Sports Wagon,PRODUCT,,,en,1,,,,,,
328i Convertible at No Reserve,328i Convertible at No Reserve,PRODUCT,,,en,1,,,,,,
"more than $1,000","more than $1,000",MONEY,,,en,1,,,,,,
40 years,40 years,DATE,,,en,1,,,,,,
Knock Airport,Knock Airport,FAC,,,en,1,,,,,,
Yesterday,Yesterday,DATE,,,en,1,,,,,,
Xbox Game Pass,Xbox Game Pass,EVENT,,,en,1,,,,,,
16,16,CARDINAL,,,en,1,,,,,,
L1,L1,CARDINAL,,,en,1,,,,,,
+6323 chars,+6323 chars,WORK_OF_ART,,,en,1,,,,,,
October 10,October 10,DATE,,,en,1,,,,,,
a week,a week,DATE,,,en,1,,,,,,
21″ Cayenne,21″ Cayenne,PRODUCT,,,en,1,,,,,,
These days,These days,DATE,,,en,1,,,,,,
Helicopter,Helicopter,FAC,,,en,1,,,,,,
21k-Mile,21k-Mile,QUANTITY,,,en,1,,,,,,
9-3 Arc,9-3 Arc,PRODUCT,,,en,1,,,,,,
2.0,2.0,CARDINAL,,,en,1,,,,,,
Cayenne SportPlus,Cayenne SportPlus,PRODUCT,,,en,1,,,,,,
SportPlus,SportPlus,PRODUCT,,,en,1,,,,,,
countless hours,countless hours,TIME,,,en,1,,,,,,
Bose,Bose,PRODUCT,,,en,1,,,,,,
This 2010 Mini Cooper S,This 2010 Mini Cooper S,EVENT,,,en,1,,,,,,
Atlas Diesel,Atlas Diesel,PRODUCT,,,en,1,,,,,,
"60,636","60,636",CARDINAL,,,en,1,,,,,,
80°,80°,QUANTITY,,,en,1,,,,,,
afternoon,afternoon,TIME,,,en,1,,,,,,
nine minutes,nine minutes,TIME,,,en,1,,,,,,
five-date,five-date,DATE,,,en,1,,,,,,
This 1971,This 1971,EVENT,,,en,1,,,,,,
Barracuda Gran Coupe 383,Barracuda Gran Coupe 383,PRODUCT,,,en,1,,,,,,
golden hour,golden hour,TIME,,,en,1,,,,,,
Morning,Morning,TIME,,,en,1,,,,,,
seasonal,seasonal,DATE,,,en,1,,,,,,
century-old,century-old,DATE,,,en,1,,,,,,
… This weekend,… This weekend,DATE,,,en,1,,,,,,
This weekend,This weekend,DATE,,,en,1,,,,,,
LTZ 4x4,LTZ 4x4,PRODUCT,,,en,1,,,,,,
two decades,two decades,DATE,,,en,1,,,,,,
days,days,DATE,,,en,1,,,,,,
30 years,30 years,DATE,,,en,1,,,,,,
This 2006 Mini Cooper S,This 2006 Mini Cooper S,EVENT,,,en,1,,,,,,
1.6-l,1.6-l,PRODUCT,,,en,1,,,,,,
Pak,Pak,NORP,,,en,1,,,,,,
"1,000","1,000",MONEY,,,en,1,,,,,,
five sweet days,five sweet days,DATE,,,en,1,,,,,,
240D,240D,PRODUCT,,,en,1,,,,,,
+1946 chars,+1946 chars,WORK_OF_ART,,,en,1,,,,,,
more than eight hours,more than eight hours,TIME,,,en,1,,,,,,
+5912,+5912,NORP,,,en,1,,,,,,
Brain Fog,Brain Fog,WORK_OF_ART,,,en,1,,,,,,
Worlds,Worlds,PRODUCT,,,en,1,,,,,,
the International Date Line,the International Date Line,EVENT,,,en,1,,,,,,
15 years,15 years,DATE,,,en,1,,,,,,
Oct. 21,Oct. 21,DATE,,,en,1,,,,,,
"6,653","6,653",CARDINAL,,,en,1,,,,,,
Stinson EVO OG,Stinson EVO OG,PRODUCT,,,en,1,,,,,,
On,On,WORK_OF_ART,,,en,1,,,,,,
some seven hours,some seven hours,TIME,,,en,1,,,,,,
27k,27k,CARDINAL,,,en,1,,,,,,
Mini Cooper S JCW Convertible,Mini Cooper S JCW Convertible,EVENT,,,en,1,,,,,,
Mini Cooper S,Mini Cooper S,EVENT,,,en,1,,,,,,
8 hours',8 hours',TIME,,,en,1,,,,,,
FY26,FY26,PRODUCT,,,en,1,,,,,,
about the second half,about the second half,DATE,,,en,1,,,,,,
half,half,CARDINAL,,,en,1,,,,,,
the September quarter,the September quarter,DATE,,,en,1,,,,,,
this fiscal year,this fiscal year,DATE,,,en,1,,,,,,
the start of the holiday season,the start of the holiday season,DATE,,,en,1,,,,,,
year,year,DATE,,,en,1,,,,,,
Five Nights,Five Nights,DATE,,,en,1,,,,,,
This Year,This Year,DATE,,,en,1,,,,,,
+16747,+16747,NORP,,,en,1,,,,,,
Apple Silicon,Apple Silicon,PRODUCT,,,en,1,,,,,,
Ollama-Compatible Runtime,Ollama-Compatible Runtime,FAC,,,en,1,,,,,,
+1323 chars,+1323 chars,WORK_OF_ART,,,en,1,,,,,,
minutes,minutes,TIME,,,en,1,,,,,,
'Foggy Outlook' Suggests Caution,'Foggy Outlook' Suggests Caution,WORK_OF_ART,,,en,1,,,,,,
Year-End,Year-End,DATE,,,en,1,,,,,,
Black Dako,Black Dako,FAC,,,en,1,,,,,,
Republic,Republic,WORK_OF_ART,,,en,1,,,,,,
"101,700","101,700",MONEY,,,en,1,,,,,,
300k,300k,MONEY,,,en,1,,,,,,
the month of October,the month of October,DATE,,,en,1,,,,,,
the high 60s and,the high 60s and,DATE,,,en,1,,,,,,
Halloweens,Halloweens,DATE,,,en,1,,,,,,
"149,900","149,900",MONEY,,,en,1,,,,,,
30 feet,30 feet,QUANTITY,,,en,1,,,,,,
6.75-liter,6.75-liter,CARDINAL,,,en,1,,,,,,
"at least $300,000","at least $300,000",MONEY,,,en,1,,,,,,
that months,that months,DATE,,,en,1,,,,,,
50 years ago,50 years ago,DATE,,,en,1,,,,,,
November night,November night,TIME,,,en,1,,,,,,
50th,50th,ORDINAL,,,en,1,,,,,,
the end of Day Nine,the end of Day Nine,DATE,,,en,1,,,,,,
the end of day,the end of day,DATE,,,en,1,,,,,,
two thousand years,two thousand years,DATE,,,en,1,,,,,,
other months,other months,DATE,,,en,1,,,,,,
44,44,DATE,,,en,1,,,,,,
Every year,Every year,DATE,,,en,1,,,,,,
Silent Hill,Silent Hill,FAC,,,en,1,,,,,,
more than a year,more than a year,DATE,,,en,1,,,,,,
three days,three days,DATE,,,en,1,,,,,,
Indian,Indian,NORP,,,en,1,,,,,,
November-December,November-December,DATE,,,en,1,,,,,,
"November… Nov 01, 2025","November… Nov 01, 2025",DATE,,,en,1,,,,,,
an Xbox Series,an Xbox Series,EVENT,,,en,1,,,,,,
Hillary Airport,Hillary Airport,FAC,,,en,1,,,,,,
the China Burma India Theater,the China Burma India Theater,FAC,,,en,1,,,,,,
TenzingHillary Airport,TenzingHillary Airport,FAC,,,en,1,,,,,,
Scorpios,Scorpios,PRODUCT,,,en,1,,,,,,
the 1920s,the 1920s,DATE,,,en,1,,,,,,
CHAPTER ONE,CHAPTER ONE,LAW,,,en,1,,,,,,
325i Convertible at No Reserve,325i Convertible at No Reserve,PRODUCT,,,en,1,,,,,,
ten,ten,CARDINAL,,,en,1,,,,,,
Stars Align,Stars Align,PRODUCT,,,en,1,,,,,,
the TNGA-F truck,the TNGA-F truck,FAC,,,en,1,,,,,,
the TNGA-F,the TNGA-F,FAC,,,en,1,,,,,,
50k miles,50k miles,QUANTITY,,,en,1,,,,,,
20%,20%,PERCENT,,,en,1,,,,,,
"below $100,000","below $100,000",MONEY,,,en,1,,,,,,
"over $126,000","over $126,000",MONEY,,,en,1,,,,,,
Oct. 6,Oct. 6,DATE,,,en,1,,,,,,
50k,50k,CARDINAL,,,en,1,,,,,,
July 2017,July 2017,DATE,,,en,1,,,,,,
11k,11k,CARDINAL,,,en,1,,,,,,
Fleeting Beauty to Boost Your Photography Sales With Lumaprints,Fleeting Beauty to Boost Your Photography Sales With Lumaprints,WORK_OF_ART,,,en,1,,,,,,
BMW,BMW,PRODUCT,,,en,1,,,,,,
911S Coupe,911S Coupe,PRODUCT,,,en,1,,,,,,
1967,1967,DATE,,,en,1,,,,,,
This 1967,This 1967,EVENT,,,en,1,,,,,,
Forest River Georgetown,Forest River Georgetown,FAC,,,en,1,,,,,,
Nissan Skyline GT-R.,Nissan Skyline GT-R.,FAC,,,en,1,,,,,,
This 2024,This 2024,DATE,,,en,1,,,,,,
Democrats,Democrats,NORP,,,en,1,,,,,,
about m,about m,QUANTITY,,,en,1,,,,,,
Earlier this year,Earlier this year,DATE,,,en,1,,,,,,
every day,every day,DATE,,,en,1,,,,,,
That Days,That Days,DATE,,,en,1,,,,,,
278 million,278 million,CARDINAL,,,en,1,,,,,,
Databroker Files,Databroker Files,WORK_OF_ART,,,en,1,,,,,,
"1,348","1,348",CARDINAL,,,en,1,,,,,,
this summer,this summer,DATE,,,en,1,,,,,,
xDrive Coupe,xDrive Coupe,PRODUCT,,,en,1,,,,,,
Mondial,Mondial,PRODUCT,,,en,1,,,,,,
This 1990,This 1990,DATE,,,en,1,,,,,,
six-s,six-s,QUANTITY,,,en,1,,,,,,
This 2011,This 2011,DATE,,,en,1,,,,,,
48k,48k,CARDINAL,,,en,1,,,,,,
… Autumns,… Autumns,DATE,,,en,1,,,,,,
Second Month,Second Month,DATE,,,en,1,,,,,,
about this weeks,about this weeks,DATE,,,en,1,,,,,,
week,week,DATE,,,en,1,,,,,,
Season 3,Season 3,DATE,,,en,1,,,,,,
Sleep,Sleep,WORK_OF_ART,,,en,1,,,,,,
GX470,GX470,PRODUCT,,,en,1,,,,,,
September,September,DATE,,,en,1,,,,,,
the William McChesney M…,the William McChesney M…,FAC,,,en,1,,,,,,
1986 Ford Mustang GT 5.0 Convertible 5-Speed,1986 Ford Mustang GT 5.0 Convertible 5-Speed,TIME,,,en,1,,,,,,
Mustang GT,Mustang GT,PRODUCT,,,en,1,,,,,,
Season 2,Season 2,DATE,,,en,1,,,,,,
$92.5 million,$92.5 million,MONEY,,,en,1,,,,,,
29k-Mile,29k-Mile,QUANTITY,,,en,1,,,,,,
330Ci Convertible,330Ci Convertible,PRODUCT,,,en,1,,,,,,
Rubio Hijacked Trump’s Foreign Policy,Rubio Hijacked Trump’s Foreign Policy,WORK_OF_ART,,,en,1,,,,,,
2025 Third Quarter,2025 Third Quarter,DATE,,,en,1,,,,,,
Oct. 29,Oct. 29,DATE,,,en,1,,,,,,
Kirby,Kirby,WORK_OF_ART,,,en,1,,,,,,
This 2002,This 2002,DATE,,,en,1,,,,,,
X1 sDrive28i M Sport,X1 sDrive28i M Sport,PRODUCT,,,en,1,,,,,,
X1 sDrive28i,X1 sDrive28i,PRODUCT,,,en,1,,,,,,
28 October,28 October,DATE,,,en,1,,,,,,
Battlefield 6,Battlefield 6,WORK_OF_ART,,,en,1,,,,,,
Season 1,Season 1,DATE,,,en,1,,,,,,
120,120,CARDINAL,,,en,1,,,,,,
1.1.1.0,1.1.1.0,CARDINAL,,,en,1,,,,,,
V8 l,V8 l,PRODUCT,,,en,1,,,,,,
Corvette Convertible Collector Edition,Corvette Convertible Collector Edition,PRODUCT,,,en,1,,,,,,
+3480,+3480,NORP,,,en,1,,,,,,
the Winter Marathon,the Winter Marathon,EVENT,,,en,1,,,,,,
This 1957,This 1957,DATE,,,en,1,,,,,,
+1702,+1702,NORP,,,en,1,,,,,,
Danish,Danish,NORP,,,en,1,,,,,,
43k,43k,CARDINAL,,,en,1,,,,,,
the start of fall,the start of fall,DATE,,,en,1,,,,,,
the third quarter ended September 30,the third quarter ended September 30,DATE,,,en,1,,,,,,
$90.0 million,$90.0 million,MONEY,,,en,1,,,,,,
+2350 chars,+2350 chars,WORK_OF_ART,,,en,1,,,,,,
Gothic Masterpiece,Gothic Masterpiece,WORK_OF_ART,,,en,1,,,,,,
+4525 chars,+4525 chars,WORK_OF_ART,,,en,1,,,,,,
110,110,CARDINAL,,,en,1,,,,,,
Land Rover Defender 110 HSE,Land Rover Defender 110 HSE,EVENT,,,en,1,,,,,,
fourth consecutive week,fourth consecutive week,DATE,,,en,1,,,,,,
over a year,over a year,DATE,,,en,1,,,,,,
the fourth consecutive week,the fourth consecutive week,DATE,,,en,1,,,,,,
Press Conference Shows Why He,Press Conference Shows Why He,EVENT,,,en,1,,,,,,
Third quarter 2025,Third quarter 2025,DATE,,,en,1,,,,,,
Truck Driver,Truck Driver,WORK_OF_ART,,,en,1,,,,,,
Xbox Series,Xbox Series,EVENT,,,en,1,,,,,,
16k,16k,CARDINAL,,,en,1,,,,,,
Mustang GT Hatchback,Mustang GT Hatchback,PRODUCT,,,en,1,,,,,,
5.0,5.0,CARDINAL,,,en,1,,,,,,
Light Regatta Blue Metallic,Light Regatta Blue Metallic,WORK_OF_ART,,,en,1,,,,,,
Helmet,Helmet,PRODUCT,,,en,1,,,,,,
TransportTags,TransportTags,WORK_OF_ART,,,en,1,,,,,,
Morning Brief,Morning Brief,WORK_OF_ART,,,en,1,,,,,,
185,185,CARDINAL,,,en,1,,,,,,
Fea,Fea,PRODUCT,,,en,1,,,,,,
Celestial,Celestial,WORK_OF_ART,,,en,1,,,,,,
the Palomar Observatory,the Palomar Observatory,FAC,,,en,1,,,,,,
+2617,+2617,NORP,,,en,1,,,,,,
M3 Coupe,M3 Coupe,PRODUCT,,,en,1,,,,,,
Italian,Italian,NORP,,,en,1,,,,,,
between 3.75% and 4%,between 3.75% and 4%,PERCENT,,,en,1,,,,,,
spring season,spring season,DATE,,,en,1,,,,,,
the quarter,the quarter,DATE,,,en,1,,,,,,
mid-80%,mid-80%,PERCENT,,,en,1,,,,,,
third quarter,third quarter,DATE,,,en,1,,,,,,
>,>,CARDINAL,,,en,1,,,,,,
6%,6%,PERCENT,,,en,1,,,,,,
Bahama Beige,Bahama Beige,PRODUCT,,,en,1,,,,,,
